year,month,day,hour,Quarter,Days_since_start,Overturning_Strength
2004,6,17,12,2,77.5,10.623166
2004,6,18,0,2,78,10.450386
2004,6,18,12,2,78.5,10.335425
2004,6,19,0,2,79,10.286204
2004,6,19,12,2,79.5,10.307755
2004,6,20,0,2,80,10.401588
2004,6,20,12,2,80.5,10.565384
2004,6,21,0,2,81,10.793079
2004,6,21,12,2,81.5,11.075347
2004,6,22,0,2,82,11.40044
2004,6,22,12,2,82.5,11.755298
2004,6,23,0,2,83,12.126797
2004,6,23,12,2,83.5,12.502999
2004,6,24,0,2,84,12.874254
2004,6,24,12,2,84.5,13.234029
2004,6,25,0,2,85,13.579363
2004,6,25,12,2,85.5,13.910923
2004,6,26,0,2,86,14.232625
2004,6,26,12,2,86.5,14.550912
2004,6,27,0,2,87,14.87374
2004,6,27,12,2,87.5,15.209419
2004,6,28,0,2,88,15.565418
2004,6,28,12,2,88.5,15.947288
2004,6,29,0,2,89,16.357796
2004,6,29,12,2,89.5,16.796386
2004,6,30,0,2,90,17.258994
2004,6,30,12,2,90.5,17.738258
2004,7,1,0,3,91,18.224074
2004,7,1,12,3,91.5,18.704452
2004,7,2,0,3,92,19.166562
2004,7,2,12,3,92.5,19.597878
2004,7,3,0,3,93,19.987282
2004,7,3,12,3,93.5,20.326027
2004,7,4,0,3,94,20.608455
2004,7,4,12,3,94.5,20.832411
2004,7,5,0,3,95,20.999314
2004,7,5,12,3,95.5,21.113896
2004,7,6,0,3,96,21.183657
2004,7,6,12,3,96.5,21.218089
2004,7,7,0,3,97,21.227787
2004,7,7,12,3,97.5,21.223509
2004,7,8,0,3,98,21.215315
2004,7,8,12,3,98.5,21.211824
2004,7,9,0,3,99,21.219659
2004,7,9,12,3,99.5,21.243097
2004,7,10,0,3,100,21.283928
2004,7,10,12,3,100.5,21.341485
2004,7,11,0,3,101,21.412847
2004,7,11,12,3,101.5,21.493144
2004,7,12,0,3,102,21.575977
2004,7,12,12,3,102.5,21.653896
2004,7,13,0,3,103,21.71896
2004,7,13,12,3,103.5,21.763343
2004,7,14,0,3,104,21.779981
2004,7,14,12,3,104.5,21.763232
2004,7,15,0,3,105,21.709516
2004,7,15,12,3,105.5,21.617865
2004,7,16,0,3,106,21.490332
2004,7,16,12,3,106.5,21.332199
2004,7,17,0,3,107,21.151917
2004,7,17,12,3,107.5,20.960784
2004,7,18,0,3,108,20.772321
2004,7,18,12,3,108.5,20.601418
2004,7,19,0,3,109,20.4633
2004,7,19,12,3,109.5,20.372401
2004,7,20,0,3,110,20.341253
2004,7,20,12,3,110.5,20.37949
2004,7,21,0,3,111,20.493061
2004,7,21,12,3,111.5,20.683718
2004,7,22,0,3,112,20.948825
2004,7,22,12,3,112.5,21.281499
2004,7,23,0,3,113,21.67107
2004,7,23,12,3,113.5,22.103803
2004,7,24,0,3,114,22.563829
2004,7,24,12,3,114.5,23.034192
2004,7,25,0,3,115,23.497929
2004,7,25,12,3,115.5,23.939097
2004,7,26,0,3,116,24.343671
2004,7,26,12,3,116.5,24.700243
2004,7,27,0,3,117,25.000488
2004,7,27,12,3,117.5,25.23937
2004,7,28,0,3,118,25.415088
2004,7,28,12,3,118.5,25.528772
2004,7,29,0,3,119,25.583971
2004,7,29,12,3,119.5,25.585984
2004,7,30,0,3,120,25.541086
2004,7,30,12,3,120.5,25.455742
2004,7,31,0,3,121,25.335881
2004,7,31,12,3,121.5,25.186317
2004,8,1,0,3,122,25.010375
2004,8,1,12,3,122.5,24.809805
2004,8,2,0,3,123,24.584958
2004,8,2,12,3,123.5,24.335251
2004,8,3,0,3,124,24.059839
2004,8,3,12,3,124.5,23.758424
2004,8,4,0,3,125,23.432082
2004,8,4,12,3,125.5,23.083991
2004,8,5,0,3,126,22.719939
2004,8,5,12,3,126.5,22.348527
2004,8,6,0,3,127,21.980991
2004,8,6,12,3,127.5,21.630636
2004,8,7,0,3,128,21.311911
2004,8,7,12,3,128.5,21.039212
2004,8,8,0,3,129,20.825537
2004,8,8,12,3,129.5,20.681147
2004,8,9,0,3,130,20.612404
2004,8,9,12,3,130.5,20.620932
2004,8,10,0,3,131,20.703234
2004,8,10,12,3,131.5,20.850832
2004,8,11,0,3,132,21.050956
2004,8,11,12,3,132.5,21.287711
2004,8,12,0,3,133,21.543641
2004,8,12,12,3,133.5,21.801488
2004,8,13,0,3,134,22.045983
2004,8,13,12,3,134.5,22.265431
2004,8,14,0,3,135,22.452917
2004,8,14,12,3,135.5,22.606954
2004,8,15,0,3,136,22.731497
2004,8,15,12,3,136.5,22.835277
2004,8,16,0,3,137,22.93054
2004,8,16,12,3,137.5,23.031304
2004,8,17,0,3,138,23.15134
2004,8,17,12,3,138.5,23.302127
2004,8,18,0,3,139,23.491027
2004,8,18,12,3,139.5,23.719916
2004,8,19,0,3,140,23.98448
2004,8,19,12,3,140.5,24.274287
2004,8,20,0,3,141,24.573661
2004,8,20,12,3,141.5,24.863317
2004,8,21,0,3,142,25.122559
2004,8,21,12,3,142.5,25.331832
2004,8,22,0,3,143,25.475301
